"edrpou","name"
0,"Сiваченко Євгенiй Борисович"
0,"П-ць Нiщик С.А."
0,"Рудь Оксана Володимирiвна"
0,"Мацько С.З."
0,"Гедз М.Я."
0,"ПП ""Чубатюк Р.З"""
0,"ФОП Швейбеш Ю.I"
0,"Підприємець Нагібіна В.М."
0,"П\П Дьордяй Ганна Василiвна"
0,"Побережник М.А"
0,"Куроп'ятник О.А."
0,"Безпалюк Анатолiй Сергiйович"
0,"ГУСКА Н.М."
0,"Китайська Т.В."
0,"Профком Сосницької ветлiкарнi"
0,"ВАТ ""Ощадбанк"""
0,"Мiщук Н.В."
0,"СПД Кураєв Л.В."
0,"СПД Бабiчук М.А."
0,"Воропаєв Олександр Васильович"
0,"Безпалько Майя Степанiвна"
0,"Новiцька М.В."
10300,"Держекспортконтроль України"
10808,"Профспiлка працiвникiв митних органiв"
10808,"Рада профспiлки працiвникiв м.Київ"
12925,"МОЗ України"
13480,"Мінфін"
13540,"Рахункова палата"
13698,"Вища рада юстицiї"
13698,"Вища рада юстиції"
13764,"Фонд соцстраха вчд нещасних випадкчв"
13764,"Фонд від нещасних випадків"
13764,"ФСНВ України"
13764,"Фонд соцстрахування від нещасних випад"
13764,"ФСС від нещасних випадків на виробницт"
13764,"Фонд соц. страх. від нещасн. випадків"
13764,"Фонд соцстраха від нещасних випадків"
13764,"ФССНВ та ПЗ України"
13764,"ДКСУ  в м. Київ"
15622,"Міністерство юстиції України"
15622,"Міністерсво юстиції України"
15912,"НСХУ"
16018,"НАЦІОНАЛЬНА СПІЛКА ПИСЬМЕННИКІВ УКРАЇН"
18738,"Вищий господарський суд України"
18738,"ВГСУ"
19034,"ВСУ"
19270,"НАН України"
19270,"Нацiональна академiя наук України"
19270,"Ф-я ""Розрахунковий центр"" Приватбанку"
22438,"Вінницька обласна рада"
22444,"Волинська обласна рада"
22450,"Луганська ОДА"
22467,"Дніпропетровська ОДА"
22473,"Донецька ОДА"
22489,"Житомирська ОДА"
22489,"Житомирська обласна держ.адмiнiстрацiя"
22496,"Закарпатська ОДА"
22504,"Запорізька ОДА"
22504,"Запорiзька ОДА"
22510,"Івано-Франківська обласна рада"
22527,"КМДА"
22533,"Київська облдержадміністрація"
22543,"Кiровоградська облдержадмiнiстрацiя"
22543,"Кіровоградська облдержадміністрація"
22562,"Львівська ОДА"
22579,"Миколаївська ОДА"
22585,"Одеська ОДА"
22591,"Полтавська облдержадміністрація"
22622,"Тернопільська ОДА"
22645,"Херсонська ОДА"
22668,"Черкаська ОДА"
22674,"Чернігівська ОДА"
22680,"Чернівецька ОДА"
26620,"МЗС України"
32112,"АТ ""Укрексiмбанк"""
32112,"АТ УКРЕКСІМБАНК"
32112,"ПАТ""Державний експ.-імп..банк України"""
32112,"АТ ""Укрексімбанк"""
32112,"АТ""Державний експортно-імпортний банк"
32112,"ВАТ ""Держ.Експ.-Ім.Банк України"""
32112,"ВАТ""Державний експортно-iмпортний банк"
32112,"АТ""Укрексiмбанк"""
32112,"ВАТ""Укрексiмбанк"""
32112,"АТ УКРЕКСIМБАНК"
32112,"АТ""Держав.експ.-iмпорт.банк України"""
32112,"АТ ""Укрексiмбанк """
32112,"АТ ""Державний експортно-iмпортний банк"
32112,"ПАТ ""Державний експортно-імпортний бан"
32112,"АТ "" Укрексiмбанк"""
32112,"АТ ""Державний експортно-імпортний банк"
32112,"АТ ""Державн. експор-імпорт. банк Укр."""
32112,"ВАТ ""Укрексiмбанк"" у м. Києвi"
32112,"ПАТ ""Укрексiмбанк"" у м. Києвi"
32112,"ВАТ ""ДЕРЖ.ЕКСП.-ІМП.БАНК УКР."""
32112,"ПАТ ""Укрексімбанк"""
32112,"АТ""Державн. експорт.-імпорт. банк Укр"""
32112,"АТ "" Укрексiмбанк """
32112,"АТ ""ДЕРЖ.ЕКСП.ІМП.БАНК УКРАЇНИ"""
32112,"АТ ""УКРЕКСІМБАНК""у м.Києві"
32112,"Державний Експортно-Імпортний банк Укр"
32129,"Ощадбанк"
32129,"ПАТ  НАК ""Нафтогаз України"" 20077720"
32129,"АТ""Ощадбанк """
32129,"ПАТ ""Державний ощадний банк України"""
32129,"АТ ""Ощадбанк"""
32767,"Антимонопольний комітет України"
32945,"Фонд державного майна Укращни"
34022,"МОУ"
34022,"Мiнiстерство оборони України"
34039,"Адміністрація ДПСУ"
34039,"Адміністр.Державної прикордонної служб"
34051,"ГПУ"
34186,"ПАТ НАСК "" Оранта"""
34186,"ПАТ НАСК ""Оранта"""
34186,"Локачин в-я ПАТ НАСК ""Оранта"""
34186,"ПАТ НАСК ОРАНТА"
34186,"Обласна дирекцiя НАСК""Оранта"""
34186,"НАСК ""Оранта"""
34186,"ВАТ НАСК ""Оранта"""
34186,"НАСК""Оранта"""
34186,"РОД НАСК ""Оранта"""
34186,"НАСК ""Оранта""    "
34186,"Оранта"
34186,"ХОД НАСК ""Оранта"""
34186,"ВАТ ""НАСК ""Оранта"""
34186,"ВАТ НАСК ""ОРАНТА"""
34186,"ВАТ НАСК""Оранта"""
35323,"Пенсійний фонд України"
35323,"Пенсійний фонд України (доходи)"
35323,"ПЕНСІЙНИЙ ФОНД УКРАЇНИ"
37256,"Державне управління справами"
37478,"Управління державної охорони України"
39002,"ПАТ Промiнвестбанк"
39002,"ПАТ""Проиiнвестбанк""в Донецькiй областi"
39002,"ПАТ""Акцiонерно-комерцiйний ПIБ"""
39002,"ПАТ""Промiнвестбанк"""
39002,"ПАТ ""АК Промінвестбанк"""
39002,"ПАТ ""Промінвестбанк"""
39002,"РБВ №16  ПАТ ""Промiнвестбанк"""
39002,"РБВ №16 ПАТ ""Промiнвестбанк"""
39002,"ПАТ ""Промiнвестбанк"" м.Славутич"
39002,"ПАТ ""ПРОМІНВЕСТБАНК"""
39002,"ПАТ ""Промiнвестбанк"""
39002,"ПАТ""Промінвестбанк"" м.Харків"
39002,"ПАТ ""ПромiнвестБанк"""
39002,"ПАТ""Акцiонерний комерцiйний промислово"
39002,"Обл.вiд.ПАТ""Промiнвестбанк""в м.Луцьку"
39002,"ОВ ПАТ ""Промiнвестбанк"" м. Вiнниця"
39002,"ПАТ"" Промiнвестбанк"""
39002,"ПАТ ""Промiнвестбанк"", м.Київ"
39002,"Обласне відділення ПАТ ""Промінвестбанк"
39002,"ПАТ ПРОМIНВЕСТБАНК"
39002,"ПАТ Промінвестбанк"
39002,"ПАТ""Промінвестбанк"""
39002,"Слов. вiддiл.ПАТ ""Промiнвестбанк"""
39002,"Акцiонерний комерцийний промiнвестбанк"
39002,"ПАТ ""АК ПIБ"""
39002,"ПАТ ""ПРОМІНВЕСТБАНК"" У М.КИЄВІ"
39002,"ПАТ ""Промiнвестбанк"" в м. Житомир"
39002,"Обл.вiд.ПАТ""Промiнвестбанк""м.Чернiгiв"
39002,"ПАТ ""АК ""ПІБ"""
39002,"ПАТ КБ ""Промінвест Банк"" м.Черкаси"
39002,"Ф ПАТ ПIБ  в м. Луганськ"
39002,"ПАТ ""АК Промiнвестбанк"" м.Суми"
39002,"ПАТ ""Промiнвестбанк"",м.Суми"
39002,"ПАТ ""ПРОМIНВЕСТБАНК"""
39002,"ПАТ ПIБ"
39002,"ПАТ ""Акціонерний комерційн.промислово-"
39002,"ПАТ""Акціонерн.комерц.промислово-інвест"
39002,"Зведений рахунок переказiв на скр"
39002,"ДВ ПАТ""Промiнвестбанк""в Днiпроп.обл."
39002,"АК ""Промінвестбанк """
39002,"ОВ ПАТ Промiнвестбанк м.Вiнниця"
39002,"""Промінвестбанк"""
39019,"ПАТ ""УКРСОЦБАНК"""
39019,"ПАТ ""Укрсоцбанк"""
39019,"ПАТ Укрсоцбанк"
39019,"ПАТ "" Укрсоцбанк"""
39019,"Слов вiддiлення ПАТ ""Укрсоцбанк"""
39019,"АКБ ""Укрсоцбанк"""
39019,"ПАТ""Укрсоцбанк"""
39019,"ПАТ ""Укрсоцбанк"" м.Київ"
39019,"ПАТ ""Укрсоцбанк"" м. Кр. Ріг"
39019,"ПАТ УКРСОЦБАНК"
39019,"Львівська обл. філія УСБ"
39019,"ПАТ""УКРСОЦБАНК"""
39019,"Тропiн  Вiктор  Iванович"
39019,"Коломийське відділення ПАТ""Укрсоцбанк"""
39019,"""Укрсоцбанк"""
39019,"АКБ УСБ"
39019,"ПАТ УСБ"
39019,"Головний  офiс  ПАТ ""УКРСОЦБАНК"""
39019,"ПАТ""Укрсоцбанк""м.Киiв"
39019,"Головний офщс ПАТ ""Укрсоцбанк"""
39019,"ГО ПАТ ""Укрсоцбанк"""
39019,"ХОФ АКБ""Укрсоцбанк"""
39019,"ПАТ""Укрсоцбанк""Пвнiч.комерц.макрорег"
39019,"Укрсоцбанк"
39019,"ПАТ УСБ м.Київ"
39019,"Могилiвське вiд.ПАТ""Укрсоцбанк"""
39019,"ПАТ  УКРСОЦБАНК"
39019,"ПАТ ""УКРСОЦБАНК""м.Києв"
39019,"Трифоненко Iнна Iванiвна"
