"mfo","name"
834016,"ГУДКСУ у Донецькiй областi"
813015,"ГУДКСУ у Запорiзькiй областi"
820172,"ДКСУ"
820019,"ГУДКСУ у м.Києві"
804013,"ГУДКСУ у Луганській області"
851011,"ГУДКСУ у Харківській області"
852010,"ГУДКСУ у Херсонській області"
802015,"ГУДКСУ у Вінницькій області"
828011,"ГУДКСУ в Одеській області"
811039,"ГУДКСУ у Житомирській області"
805012,"ГУДКСУ у Дніпропетровській області"
823016,"ГУДКСУ у Кіровоградській області"
853592,"ГУДКСУ у Чернігівській областi"
803014,"ГУДКСУ у Волинській області"
831019,"ГУДКСУ у Полтавській областi"
812016,"ГУДКСУ у Закарпатській областi"
815013,"ГУДКСУ у Хмельницькiй областi"
854018,"ГУДКСУ у Черкаськiй областi"
826013,"ГУДКСУ у Миколаївськiй областi"
836014,"ГУДКСУ в Iвано-Франкiвськiй області"
821018,"ГУДКСУ у Київській області"
825014,"ГУДКСУ у Львiвськiй областi"
833017,"ГУДКСУ у Рiвненськiй областi"
838012,"ГУДКСУ у Тернопільській областi"
856135,"ГУДКСУ у Чернiвецькiй областi"
837013,"ГУДКСУ у Сумській області"
334851,"ЗАТ""ПЕРШИЙ УКР.МІЖНАРОД.БАНК"",ДОНЕЦЬК "
320627,"ЗАТ ""БАНК НРБ"", М.КИЇВ                "
335496,"ДОНЕЦЬКЕ РУ ЗАТ КБ""ПРИВАТБАНК"",ДОНЕЦЬК"
322959,"АКЦІОНЕРНИЙ БАНК ""ЕКСПРЕС-БАНК""       "
300012,"АК ПРОМІНВЕСТБАНК (ЗАТ)               "
335106,"Ф.-ДОНЕЦЬКЕ ОБЛ.УПР.ВАТ ""ДОБУ"",ДОНЕЦЬК"
335429,"МАРІУП.ФЗАТ КБ ""ПРИВАТБАНК"", МАРІУПОЛЬ"
335548,"КРАМАТ.ФЗАТ КБ""ПРИВАТБАНК"",КРАМАТОРСЬК"
380805,"АППБ ""АВАЛЬ""                          "
305299,"КБ ""ПРИВАТБАНК"" М.ДНІПРОПЕТРОВСЬК     "
300023,"АКБ СОЦІАЛЬНОГО РОЗВИТКУ ""УКРСОЦБАНК"" "
300335,"Акц.поштово-пенс. банк ""АВАЛЬ"" м.Київ "
380236,"ТОВ ""КОМЕРЦІЙНИЙ БАНК ""ДЕЛЬТА"", М.КИЇВ"
320478,"ВАТ АБ ""УКРГАЗБАНК""                   "
300346,"ЗАТ ""АЛЬФА-БАНК"", М.КИЇВ              "
351005,"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ"
300614,"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""    "
334817,"ФІЛІЯ ВАТ ""УКРЕКСІМБАНК"" В М.ДОНЕЦЬКУ "
307770,"ФАКБ""РАЙФФАЙЗЕНБАНК УКРАЇНА"" В М.ОДЕСІ"
300175,"ВАТ ""СЕБ БАНК"", М.КИЇВ                "
380838,"Test Bank"
304665,"Ф.-ЛУГАНСЬКЕ ОУ ВАТ""ДОБУ"",М.ЛУГАНСЬК  "
304795,"ЛУГАНСЬКА Ф-Я КБ ""ПРИВАТБАНК""         "
325321,"ЗГРУ КБ ""ПРИВАТБАНК"" М.ЛЬВІВ          "
336310,"АКБ ""ПРИКАРПАТТЯ"", IВАНО-ФРАНКIВСЬК   "
304289,"ФВАТ""ДЕР.ЕКС-ІМП.БАНК УКРАЇНИ"",ЛУГАНС."
380775,"ФІЛІЯ ""КИЇВСІТІ"" ПРИВАТБАНКУ, КИЇВ    "
351533,"ХАРКІВСЬКЕ ГРУ ПРИВАТБАНКУ            "
300711,"ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ"
352457,"ХЕРСОНСЬКЕ ОБЛУПРАВЛІННЯ ВАТ ДЕРЖ.ОБУ "
352093,"Херсонська обл. дирекцiя АППБ ""АВАЛЬ"" "
352479,"ХЕРСОНСЬКА ФІЛІЯ ЗАТ КБ ""ПРИВАТБАНК""  "
328209,"Акціонерний банк ""ПІВДЕННИЙ"",  м.Одеса"
328168,"ВАТ ""МОРСЬКИЙ ТРАНСПОРТНИЙ БАНК""      "
322313,"ВАТ ""ДЕРЖ.ЕКСП.-ІМ.БАНК УКРАЇНИ"", КИЇВ"
352639,"ФВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКРАЇНИ"",ХЕРСОН"
300465,"ВАТ ""ОЩАДБАНК""                        "
300670,"ВАТ КОМЕРЦІЙНИЙ БАНК ""ХРЕЩАТИК""       "
321767,"АКБ ""МРІЯ""                            "
325365,"ПЕРША Л.Ф. ВАТ ""КРЕДОБАНК"", М.ЛЬВІВ   "
321024,"ГОЛОВНЕ УПР.НБУ ПО М.КИЄВУ І Київ.обл."
300584,"АКБ ""СІТІБАНК"" (УКРАЇНА)              "
380418,"ТОВ ""АІС-БАНК"", М.КИЇВ                "
300528,"АКБ ""РАЙФФАЙЗЕНБАНК УКРАЇНА"", М.КИЇВ  "
328845,"Ф. ОД. ОУ ВАТ ""ДЕРЖОЩАДБАНК"",М.ОДЕСА  "
303020,"УПРАВЛІННЯ НБУ У ВОЛИНСЬКІЙ ОБЛАСТІ   "
331489,"АБ ""ПОЛТАВА-БАНК"" М.ПОЛТАВА           "
305750,"Ф-Я ДНІП.КБ ""ПРИВАТБАНК"" М. КРИВИЙ РІГ"
320649,"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ"
307123,"ЗАТ ""АГРОБАНК"", М.ДНІПРОПЕТРОВСЬК     "
351629,"ВАТ ""МЕГАБАНК"" У М.ХАРКІВ             "
326933,"МИКОЛАЇВСЬКЕ РУ ""ФІНАНСИ ТА КРЕДИТ""   "
313957,"Ф.ЗАПОРІЗ.ОУ ВАТ ""ОЩАДБАНК""М.ЗАПОРІЖЖЯ"
302429,"ФВАТ""ДЕР.ЕКС-ІМП.БАНК УКРАЇНИ"",ВІННИЦЯ"
302076,"Операцiйний вiддiл Ощадбанку,м.Вiнниця"
302689,"ВІННИЦЬКА ФКБ ""ПРИВАТБАНК""            "
300647,"АКЦІОНЕРНИЙ БАНК ""КЛІРИНГОВИЙ ДІМ""    "
322904,"КИЇВСЬКА РЕГ.ДИРЕКЦІЯ (Ф) АППБ ""АВАЛЬ"""
300937,"ФІЛІЯ""КРУ""БАНКУ""ФІНАНСИ ТА КРЕДИТ"",ТОВ"
311647,"Обласне Управлiння ОЩАДБАHКУ,м.Житомир"
300506,"ВАТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""       "
380913,"ТОВ ""БМ БАНК"", М.КИЇВ                 "
312248,"ТОВ КБ ""КООПІНВЕСТБАНК"", М.УЖГОРОД    "
300142,"АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРІНБАНК"" КИЇВ"
380388,"ЗАТ ""МІЖНАРОДНИЙ ІПОТЕЧНИЙ БАНК""      "
311324,"ЖИТОМ.ФВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКРАЇНИ"" "
328351,"Одеський обласний ф-л АППБ ""АВАЛЬ""    "
311744,"ЖИТОМИРСЬКЕ РУ ""ЗАТ КБ ""ПРИВАТБАНК""   "
303398,"ВОЛИН.ОБЛ.УПР.ВАТ ДЕРЖ. ОБ            "
300539,"АКЦІОНЕРНИЙ БАНК ""ІНГ БАНК УКРАЇНА""   "
300379,"АТ ""КАЛІОH БАНК УКРАЇНА""              "
311528,"ЖИТОМИРСЬКА ОБЛДИРЕКЦІЯ АППБ ""АВАЛЬ""  "
315784,"ХМ.ОУ ВАТ""Д.ОЩАД.Б.У"" У М.ХМЕЛЬНИЦЬКИЙ"
351823,"ФІЛІЯ- ХОУ ВАТ ""ОЩАДБАНК""  ХАРКІВ     "
326739,"Фiлiя Укрексiмбанку в м.Миколаєвi     "
380281,"ТОВ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""КИЇВ"
300120,"ЗАТ ""БАНК ПЕТРОКОММЕРЦ-УКРАЇНА"",М.КИЇВ"
322669,"ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.        "
305835,"ФБ""ФІНАНСИ ТА КРЕДИТ"",ТОВ У Д-СЬКІЙ ОБ"
305482,"ОПЕРАЦIЙНИЙ ВIДДIЛ ОБ М.ДНIПРОПЕТРОВС."
305675,"Ф-Я ВАТ ""УКРЕКСIМБАНК"",ДНIПРОПЕТРОВСЬК"
305589,"Ф-Я ВАТ ""УКРЕКСIМБАНК"", КРИВИЙ-РIГ    "
305653,"Днiпропетровська обл.дир. АППБ ""АВАЛЬ"""
305749,"АБ ""КРЕДИТ-ДНІПРО"",Дніпропетровськ    "
307231,"ОДФ БАНКУ ""ФІНАНСИ ТА КРЕДИТ"", ТОВ    "
320854,"АКЦІОНЕРНИЙ БАНК ""ДІАМАНТ"", М.КИЇВ    "
331467,"Ф-Я-ПОЛТ.ОБЛ.УПР.ВАТ""ДЕРЖ.ОЩ.БАНК УКР"""
323475,"КІРОВ.ОБЛУПРАВЛ. ВАТ ДОБУ М.КІРОВОГРАД"
313849,"АКБ ""ІНДУСТРІАЛБАНК"" М.ЗАПОРІЖЖЯ      "
353467,"УПР-Я НАЦІОНАЛЬНОГО БАНКУ ЧЕРНІГІВ.   "
305062,"КБ ""НОВИЙ"" М.ДНІПРОПЕТРОВСЬК          "
320984,"ЗАТ ""ПРОКРЕДИТ БАНК""                  "
321723,"ВАТ ""УКТБ""                            "
325796,"Львів Операційний відділ Ощадбанку    "
303440,"Ф.ВОЛ.ГРУ.ЗАТ КБ""ПРИВАТБАНК"", М.ЛУЦЬК "
325570,"Львiвська обл.дир. АППБ ""АВАЛЬ""       "
303547,"ФВАТ""ДЕР.ЕКС-ІМП.БАНК УКРАЇНИ"",ЛУЦЬК  "
300131,"БАНК ""ФІНАНСИ ТА КРЕДИТ"", ТОВ         "
325213,"ВІДКР.АКЦІОHЕРHЕ ТОВ.""ЕЛЕКТРОН БАНК""  "
300658,"ВАТ""МІЖНАРОДНИЙ КОМЕРЦІЙНИЙ БАНК"",КИЇВ"
312378,"Ф-Я ЗАК.РУ ЗАТ КБ ""ПРИВАТБАНК""        "
312356,"ЗАК.ОБЛУПР. ВАТ ""ДЕРЖОЩАДБАНК УКРАЇНИ"""
312226,"ФВАТ""ДЕР.ЕКС-ІМП.БАНК УКРАЇНИ"",УЖГОРОД"
337546,"СУМСЬКА ФІЛІЯ ПРИВАТБАНКУ, СУМИ       "
313827,"ЗОД АППБ ""АВАЛЬ"" М.ЗАПОРІЖЖЯ          "
313731,"ФБ""ФІНАНСИ ТА КРЕДИТ"" ТОВ, М.ЗАПОРІЖЖЯ"
313399,"Ф.ЗРУ ЗАТ КБ""ПРИВАТБАНК"", М.ЗАПОРІЖЖЯ "
313582,"АБ ""МЕТАЛУРГ"", М.ЗАПОРІЖЖЯ            "
337568,"СУМСЬК.ОБЛ. УПРАВЛІННЯ ОЩАДБАНКУ, СУМИ"
321842,"КИЇВСЬКЕ ГРУ ПРИВАТБАНКУ              "
331401,"ПОЛ.ФІЛ.""ПОЛТ.РЕГ.УПРАВ.КБ""ПРИВАТБАНК"""
328760,"КОМЕРЦІЙНИЙ БАНК ТОВ ""МІСТО БАНК""     "
320702,"АКБ ""НАЦIОНАЛЬНИЙ КРЕДИТ"", М. КИЇВ    "
336503,"ІВАНО-ФРАНКІВСЬК,ОБЛАСНЕ УПРАВЛІННЯ ОБ"
336677,"ІВАНО-ФРАНКІВСЬКА Ф-Я КБ ""ПРИВАТБАНК"" "
336688,"ФВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКРАЇНИ"",ІВ.-ФР"
356334,"Ф-Я ЧЕРНІВ.ОБЛУПР.ВАТ""ДЕРЖ.ОБ УКРАЇНИ"""
325268,"ЗАКРИТЕ АКЦІОHЕРHЕ ТОВ. АКБ ""ЛЬВІВ""   "
353553,"ЧЕРНІГІВ ОБЛУПР-Я ВАТ ""ДЕРЖ.ОЩАДБАHК"" "
354507,"Ф-ЧЕРК.ОБЛУП№10023ВАТ""ОЩАДБАНК""М.ЧЕРК."
380333,"Ф-Я ВАТ""ДЕРЖ.ЕКСП.-ІМП.БАНК"" В М.КИЄВІ"
300885,"ТОВ ""АРТЕМ-БАНК""                      "
315609,"ФВАТ""ДЕРЖ.ЕКС-ІМП.Б.УК.""М.ХМЕЛЬНИЦЬКИЙ"
353348,"ЧЕРНІГІВСЬКА ОБЛАСНА ДИР. АППБ ""АВАЛЬ"""
323583,"КІРОВ. ФЗАТ КБ ПРИВАТБАНК М.КІРОВОГРАД"
323538,"КІР.ОБЛ.ДИР. АППБ ""АВАЛЬ"" М.КІРОВОГРАД"
323389,"Ф ВАТ""ДЕРЖ.ЕКС-ІМП.БАНК УКР.""М.КІРОВОГ"
326461,"Миколаїв Обласне Управлiння ОБ        "
354347,"ЧЕРК.Ф.ГРУ ЗАТ КБ ПРИВАТБАНК М.ЧЕРКАСИ"
331605,"ПОЛТАВСЬКИЙ ОБЛ.Ф-Л КИЇВ. АППБ ""АВАЛЬ"""
351618,"Ф-Я ВАТ ""УКРЕКСІМБАНК"", ХАРКІВ        "
331649,"ФІЛІЯ ВАТ""УКРЕКСІМБАНК"" В М.ПОЛТАВІ   "
321712,"ВАТ ""РОДОВІД БАНК""                    "
331768,"КРЕМ.ФАК""ПРОМИСЛОВО-ФІНАНСОВОГО БАНКУ"""
326182,"Миколаївська обл.дир. АППБ ""АВАЛЬ""    "
326610,"Ф-Я ДНІПР.ЗАТ КБ ПРИВАТБАНК М.МИКОЛАЇВ"
354411,"ЧЕРКАС.ОБЛ.ДИР.АППБ""АВАЛЬ"", М.ЧЕРКАСИ "
320371,"ВАТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""       "
